Table 1,,,,,,,,,Machine Failure Logs (Table 2: Failure_Records),,,,,,,,Maintenance Schedule (Table 3: Maintenance_Log)	,,,,,,,Machine Usage (Table 4: Machine_Usage),,,,,,
Machine_ID,Date,Spindle_Speed_RPM,Vibration_Level (mm/s),Temperature (°C),Operation_Hours,Machine_Status,Predicted_Failure,,Machine_ID,Failure_Date,Failure_Type,Downtime_Hours,Repair_Time (hours),Issue_Resolved_By,Comments,,Machine_ID,Last_Maintenance_Date,Next_Scheduled_Maintenance,Maintenance_Type,Technician_Name,Maintenance_Comments,,Machine_ID,Date,Parts_Produced,Production_Quality,Rejection_Rate (%),Idle_Time (hours),Operator_Name
CNC006,2024-09-02,4300,2.3,79,10,Running,No,,CNC006,2024-08-18,Motor Failure,6,4,Technician F,Replaced motor,,CNC006,2024-08-02,2024-09-16,Routine Inspection,Technician F,"Routine oiling, checked bearings",,CNC006,2024-09-02,152,High,1.2,0.3,Operator F
CNC007,2024-09-02,3700,2,84,9,Running,Yes,,CNC007,2024-08-22,Overheating,4,3,Technician G,Adjusted cooling system,,CNC007,2024-08-03,2024-09-17,Vibration Control,Technician G,Adjusted vibration damping,,CNC007,2024-09-02,138,Medium,2.9,1.1,Operator G
CNC008,2024-09-02,4400,2.4,82,8,Running,No,,CNC008,2024-08-12,Vibration Issue,5,2,Technician H,Tightened bearings,,CNC008,2024-08-12,2024-09-22,Temperature Check,Technician H,Inspected cooling system,,CNC008,2024-09-02,165,High,1.7,0.4,Operator H
CNC009,2024-09-02,4000,3,88,12,Running,Yes,,CNC009,2024-07-30,Electrical Failure,7,5,Technician I,Rewired machine,,CNC009,2024-08-06,2024-09-19,Electrical System,Technician I,Checked electrical components,,CNC009,2024-09-02,142,Low,4.2,1.3,Operator I
CNC010,2024-09-02,4700,3.2,91,11,Running,Yes,,CNC010,2024-08-04,Spindle Breakdown,8,6,Technician J,Replaced spindle motor,,CNC010,2024-08-14,2024-09-23,Spindle Inspection,Technician J,Checked spindle alignment,,CNC010,2024-09-02,158,High,1.6,0.5,Operator J
CNC011,2024-09-03,4500,2.2,80,10,Running,No,,CNC011,2024-08-16,Motor Failure,6,4,Technician K,Replaced motor,,CNC011,2024-08-04,2024-09-15,Routine Inspection,Technician K,"Routine oiling, checked bearings",,CNC011,2024-09-03,149,High,1.4,0.4,Operator K
CNC012,2024-09-03,3650,1.9,83,9,Running,Yes,,CNC012,2024-08-24,Overheating,4,3,Technician L,Adjusted cooling system,,CNC012,2024-08-08,2024-09-18,Vibration Control,Technician L,Adjusted vibration damping,,CNC012,2024-09-03,135,Medium,3.1,1,Operator L
CNC013,2024-09-03,4250,2.6,84,8,Running,No,,CNC013,2024-08-14,Vibration Issue,5,2,Technician M,Tightened bearings,,CNC013,2024-08-10,2024-09-20,Temperature Check,Technician M,Inspected cooling system,,CNC013,2024-09-03,162,High,1.8,0.5,Operator M
CNC014,2024-09-03,4050,2.8,89,12,Running,Yes,,CNC014,2024-07-29,Electrical Failure,7,5,Technician N,Rewired machine,,CNC014,2024-08-07,2024-09-19,Electrical System,Technician N,Checked electrical components,,CNC014,2024-09-03,144,Low,4.3,1.4,Operator N
CNC015,2024-09-03,4550,3.3,93,11,Running,Yes,,CNC015,2024-08-03,Spindle Breakdown,8,6,Technician O,Replaced spindle motor,,CNC015,2024-08-11,2024-09-21,Spindle Inspection,Technician O,Checked spindle alignment,,CNC015,2024-09-03,157,High,1.5,0.6,Operator O
CNC016,2024-09-04,4450,2.1,77,10,Running,No,,CNC016,2024-08-17,Motor Failure,6,4,Technician P,Replaced motor,,CNC016,2024-08-05,2024-09-17,Routine Inspection,Technician P,"Routine oiling, checked bearings",,CNC016,2024-09-04,150,High,1.3,0.5,Operator P
CNC017,2024-09-04,3750,1.7,86,9,Running,Yes,,CNC017,2024-08-25,Overheating,4,3,Technician Q,Adjusted cooling system,,CNC017,2024-08-13,2024-09-25,Vibration Control,Technician Q,Adjusted vibration damping,,CNC017,2024-09-04,137,Medium,3,1.2,Operator Q
CNC018,2024-09-04,4350,2.5,83,8,Running,No,,CNC018,2024-08-13,Vibration Issue,5,2,Technician R,Tightened bearings,,CNC018,2024-08-09,2024-09-23,Temperature Check,Technician R,Inspected cooling system,,CNC018,2024-09-04,161,High,1.6,0.4,Operator R
