Machine_ID,Usage_Date_x,Spindle_Speed_RPM,Vibration_Level,Temperature,Operation_Hours,Machine_Status,Predicted_Failure,Failure_Date,Failure_Type,Downtime_Hours,Repair_Time_hours,Technician_Name_x,Comments,Last_Maintenance_Date,Next_Schedule_Maintenance_Date,Maintenance_Type,Technician_Name_y,Maintenance_Comments,Usage_Date_y,Parts_Produced,Production_Quality,Rejection_Rate,Idle_Time,Operator,Time_Since_Last_Maintenance,Maintenance_overdue_days,Failure_Rate
CNC006,2024-09-02,4300,2.3,79,10,Running,False,2024-08-18,Motor Failure,6,4,Technician F,Replaced motor,2024-08-02,2024-09-16,Routine Inspection,Technician F,"Routine oiling, checked bearings",2024-09-02,152,High,1.2,0.3,Operator F,100,-56,10.0
CNC007,2024-09-02,3700,2.0,84,9,Running,True,2024-08-22,Overheating,4,3,Technician G,Adjusted cooling system,2024-08-03,2024-09-17,Vibration Control,Technician G,Adjusted vibration damping,2024-09-02,138,Medium,2.9,1.1,Operator G,99,-55,11.11111111111111
CNC008,2024-09-02,4400,2.4,82,8,Running,False,2024-08-12,Vibration Issue,5,2,Technician H,Tightened bearings,2024-08-12,2024-09-22,Temperature Check,Technician H,Inspected cooling system,2024-09-02,165,High,1.7,0.4,Operator H,90,-50,12.5
CNC009,2024-09-02,4000,3.0,88,12,Running,True,2024-07-30,Electrical Failure,7,5,Technician I,Rewired machine,2024-08-06,2024-09-19,Electrical System,Technician I,Checked electrical components,2024-09-02,142,Low,4.2,1.3,Operator I,96,-53,8.333333333333332
CNC010,2024-09-02,4700,3.2,91,11,Running,True,2024-08-04,Spindle Breakdown,8,6,Technician J,Replaced spindle motor,2024-08-14,2024-09-23,Spindle Inspection,Technician J,Checked spindle alignment,2024-09-02,158,High,1.6,0.5,Operator J,88,-49,9.090909090909092
CNC011,2024-09-03,4500,2.2,80,10,Running,False,2024-08-16,Motor Failure,6,4,Technician K,Replaced motor,2024-08-04,2024-09-15,Routine Inspection,Technician K,"Routine oiling, checked bearings",2024-09-03,149,High,1.4,0.4,Operator K,98,-57,10.0
CNC012,2024-09-03,3650,1.9,83,9,Running,True,2024-08-24,Overheating,4,3,Technician L,Adjusted cooling system,2024-08-08,2024-09-18,Vibration Control,Technician L,Adjusted vibration damping,2024-09-03,135,Medium,3.1,1.0,Operator L,94,-54,11.11111111111111
CNC013,2024-09-03,4250,2.6,84,8,Running,False,2024-08-14,Vibration Issue,5,2,Technician M,Tightened bearings,2024-08-10,2024-09-20,Temperature Check,Technician M,Inspected cooling system,2024-09-03,162,High,1.8,0.5,Operator M,92,-52,12.5
CNC014,2024-09-03,4050,2.8,89,12,Running,True,2024-07-29,Electrical Failure,7,5,Technician N,Rewired machine,2024-08-07,2024-09-19,Electrical System,Technician N,Checked electrical components,2024-09-03,144,Low,4.3,1.4,Operator N,95,-53,8.333333333333332
CNC015,2024-09-03,4550,3.3,93,11,Running,True,2024-08-03,Spindle Breakdown,8,6,Technician O,Replaced spindle motor,2024-08-11,2024-09-21,Spindle Inspection,Technician O,Checked spindle alignment,2024-09-03,157,High,1.5,0.6,Operator O,91,-51,9.090909090909092
CNC016,2024-09-04,4450,2.1,77,10,Running,False,2024-08-17,Motor Failure,6,4,Technician P,Replaced motor,2024-08-05,2024-09-17,Routine Inspection,Technician P,"Routine oiling, checked bearings",2024-09-04,150,High,1.3,0.5,Operator P,97,-55,10.0
CNC017,2024-09-04,3750,1.7,86,9,Running,True,2024-08-25,Overheating,4,3,Technician Q,Adjusted cooling system,2024-08-13,2024-09-25,Vibration Control,Technician Q,Adjusted vibration damping,2024-09-04,137,Medium,3.0,1.2,Operator Q,89,-47,11.11111111111111
CNC018,2024-09-04,4350,2.5,83,8,Running,False,2024-08-13,Vibration Issue,5,2,Technician R,Tightened bearings,2024-08-09,2024-09-23,Temperature Check,Technician R,Inspected cooling system,2024-09-04,161,High,1.6,0.4,Operator R,93,-49,12.5
CNC019,2024-09-04,4150,3.0,87,12,Running,True,2024-07-31,Electrical Failure,7,5,Technician S,Rewired machine,2024-08-06,2024-09-20,Electrical System,Technician S,Checked electrical components,2024-09-04,143,Low,4.1,1.3,Operator S,96,-52,8.333333333333332
CNC020,2024-09-04,4650,3.2,89,11,Running,True,2024-08-05,Spindle Breakdown,8,6,Technician T,Replaced spindle motor,2024-08-15,2024-09-26,Spindle Inspection,Technician T,Checked spindle alignment,2024-09-04,159,High,1.4,0.5,Operator T,87,-46,9.090909090909092
CNC021,2024-09-05,4550,2.3,81,10,Running,False,2024-08-19,Motor Failure,6,4,Technician U,Replaced motor,2024-08-01,2024-09-15,Routine Inspection,Technician U,"Routine oiling, checked bearings",2024-09-05,151,High,1.2,0.3,Operator U,101,-57,10.0
CNC022,2024-09-05,3800,2.0,84,9,Running,True,2024-08-23,Overheating,4,3,Technician V,Adjusted cooling system,2024-08-03,2024-09-17,Vibration Control,Technician V,Adjusted vibration damping,2024-09-05,139,Medium,3.2,1.1,Operator V,99,-55,11.11111111111111
CNC023,2024-09-05,4250,2.7,82,8,Running,False,2024-08-11,Vibration Issue,5,2,Technician W,Tightened bearings,2024-08-12,2024-09-22,Temperature Check,Technician W,Inspected cooling system,2024-09-05,163,High,1.7,0.4,Operator W,90,-50,12.5
CNC024,2024-09-05,4100,3.1,88,12,Running,True,2024-07-27,Electrical Failure,7,5,Technician X,Rewired machine,2024-08-05,2024-09-19,Electrical System,Technician X,Checked electrical components,2024-09-05,141,Low,4.4,1.5,Operator X,97,-53,8.333333333333332
CNC025,2024-09-05,4600,3.4,90,11,Running,True,2024-08-01,Spindle Breakdown,8,6,Technician Y,Replaced spindle motor,2024-08-14,2024-09-24,Spindle Inspection,Technician Y,Checked spindle alignment,2024-09-05,156,High,1.5,0.6,Operator Y,88,-48,9.090909090909092
CNC026,2024-09-06,4500,2.4,79,10,Running,False,2024-08-21,Motor Failure,6,4,Technician Z,Replaced motor,2024-08-04,2024-09-16,Routine Inspection,Technician Z,"Routine oiling, checked bearings",2024-09-06,153,High,1.4,0.3,Operator Z,98,-56,10.0
CNC027,2024-09-06,3650,1.8,85,9,Running,True,2024-08-26,Overheating,4,3,Technician A,Adjusted cooling system,2024-08-10,2024-09-20,Vibration Control,Technician A,Adjusted vibration damping,2024-09-06,136,Medium,3.0,1.0,Operator A,92,-52,11.11111111111111
CNC028,2024-09-06,4400,2.6,80,8,Running,False,2024-08-15,Vibration Issue,5,2,Technician B,Tightened bearings,2024-08-11,2024-09-21,Temperature Check,Technician B,Inspected cooling system,2024-09-06,164,High,1.8,0.4,Operator B,91,-51,12.5
CNC029,2024-09-06,4200,3.1,87,12,Running,True,2024-07-28,Electrical Failure,7,5,Technician C,Rewired machine,2024-08-06,2024-09-19,Electrical System,Technician C,Checked electrical components,2024-09-06,140,Low,4.3,1.2,Operator C,96,-53,8.333333333333332
